"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1951,"1","""Too Young""","Nat King Cole","44ZAlAAn0bAEzUJgZky04H","Nat King Cole",0.923
1951,"2","""Because of You""","Tony Bennett","1hVEHu6SemMvlYAP5MWkDj","Tony Bennett",0.94
1951,"3","""How High the Moon""","Les Paul & Mary Ford","0onHzLoj8yQbjbHtJzwjBx","Les Paul",0.678
1951,"4","""Come on-a My House""","Rosemary Clooney","","",NA
1951,"5","""Be My Love""","Mario Lanza","6l8tdrHjXjoM2U8mxfoXnL","Mario Lanza",0.974
1951,"6","""On Top of Old Smoky""","The Weavers","3Rd7lzhb3AtQPuQ4UZiSCc","The Weavers",0.855
1951,"7","""Cold, Cold Heart""","Tony Bennett","1nz7qrpaifFdBUp22qde4O","Tony Bennett",0.968
1951,"8","""If""","Perry Como","0VLsWxGXctGx9QtaHCpVEk","Perry Como",0.903
1951,"9","""The Loveliest Night of the Year""","Mario Lanza","4mSKeFHnAjwZIG4wQDCe2Z","Mario Lanza",0.942
1951,"10","""Tennessee Waltz""","Patti Page","5g5I4HsMQZ4shVP7Bg1ZEb","Patti Page",0.968
1951,"11","""Jezebel""","Frankie Laine","6SYQwsOxHW5uUYjUpOKtIC","Frankie Laine",0.835
1951,"12","""I Get Ideas""","Tony Martin","337MjXbvx4dDSgOYSfawii","Tony Martin",0.882
1951,"13","""Mockin' Bird Hill""","Les Paul & Mary Ford","62GWHE0tcoW9kJrscFn6k3","Les Paul",0.745
1951,"14","""Mockin' Bird Hill""","Patti Page","5yzlxi4VFO8UkxepsL0guW","Patti Page",0.75
1951,"15","""My Heart Cries for You""","Guy Mitchell & Mitch Miller",NA,NA,NA
1951,"16","""(It's No) Sin""","Eddy Howard","4cyPBIYP1z47ZIdT7fgDxu","Eddy Howard",0.961
1951,"17","""Sound Off""","Vaughn Monroe","7zYRrbdbYqogTo9b3sZnaz","Vaughn Monroe",0.743
1951,"18","""Sweet Violets""","Dinah Shore","05ifAxjJZYzDwC8iyQWChD","Various Artists",0.837
1951,"19","""The World Is Waiting for the Sunrise""","Les Paul & Mary Ford","36JEJ923q81GkE88VP5WAD","Les Paul",0.56
1951,"20","""My Truly, Truly Fair""","Guy Mitchell & Mitch Miller","5UKcLXMxnK07HqmnHCi1C7","Guy Mitchell",0.8
1951,"21","""(It's No) Sin""","The Four Aces","1dIYh7nTF0ZJc9vP3QYXUf","The Four Aces",0.92
1951,"22","""Aba Daba Honeymoon""","Debbie Reynolds & Carleton Carpenter","4YSI7uS8SR0jbwVqsfijv5","Various Artists",0.973
1951,"23","""Rose, Rose, I Love You""","Frankie Laine","5hQ3Z5zYqHKZBO0pPb16eI","Frankie Laine",0.801
1951,"24","""Down Yonder""","Del Wood","3UYeTr8hsTPi5rfKd7zUsm","Del Wood",0.734
1951,"25","""I Apologize""","Billy Eckstine","6eSvqypg85X4qOZWuFzfEU","Billy Eckstine",0.969
1951,"26","""Would I Love You (Love You, Love You)""","Patti Page","2L09VIBngrGdYr2Z4NWrcZ","Patti Page",0.899
1951,"27","""You're Just in Love""","Perry Como & The Fontane Sisters","0jVYsBfsxGA7zPurjqnlH8","Perry Como",0.924
1951,"28","""Undecided""","Ames Brothers with The Les Brown Orchestra",NA,NA,NA
1951,"29","""The Thing""","Phil Harris","3JbHocrY8ZZrk9l9t1mBls","Various Artists",0.838
1951,"30","""Because of You""","Les Baxter","4WToccEJeXgFNyfNPuSYCS","Les Baxter",0.865
1952,"1","""Blue Tango""","Leroy Anderson","707KmYFPnxkPLpZL1BVhUg","Leroy Anderson",0.851
1952,"2","""Wheel of Fortune""","Kay Starr","2gCQe48O4GMJz6oFBqnN9e","Kay Starr",0.897
1952,"3","""Cry""","Johnnie Ray & The Four Lads","0Ig4dmbyb1aBynsyyyjwEp","Johnnie Ray",0.9
1952,"4","""You Belong to Me""","Jo Stafford","4ifZT2TGYtOUIV7IW9NFBB","Jo Stafford",0.977
1952,"5","""Auf Wiederseh'n Sweetheart""","Vera Lynn","3rIhZKroSQQjNcgGQsdaJF","Vera Lynn",0.846
1952,"6","""Half as Much""","Rosemary Clooney","5vIe5BmOlPXarqRxJh9FNE","Rosemary Clooney",0.944
1952,"7","""Wish You Were Here""","Eddie Fisher","1N23NEOz7JZrgziAWmZf6V","Various Artists",0.728
1952,"8","""I Went to Your Wedding""","Patti Page","1pfNFUzZIhwPx1m9eqOlfX","Patti Page",0.814
1952,"9","""Here in My Heart""","Al Martino","0AwZRPEUFyZxpVnCIAi5ZF","Al Martino",0.645
1952,"10","""Delicado""","Percy Faith","6gNkjeqj4lZMSJ1ejV3qGI","Percy Faith & His Orchestra",0.347
1952,"11","""Kiss of Fire""","Georgia Gibbs","46SZJUs1Qnutjk3QlNcnKY","Georgia Gibbs",0.936
1952,"12","""Anytime""","Eddie Fisher","3j1o0rONh8IG7wOl4mdKaN","Eddie Fisher",0.971
1952,"13","""Tell Me Why""","The Four Aces","5DipLI9pNQu8Jwf26XFZQt","The Four Aces",0.865
1952,"14","""Blacksmith Blues""","Ella Mae Morse","33FiJdNiWACHYd5yk0en35","Ella Mae Morse",0.498
1952,"15","""Jambalaya (On the Bayou)""","Jo Stafford",NA,NA,NA
1952,"16","""Botch-a-Me (Ba-Ba-Baciami Piccina)""","Rosemary Clooney",NA,NA,NA
1952,"17","""A Guy Is a Guy""","Doris Day","1lZSR5NKeNGuCPSTNL7BhW","Doris Day",0.901
1952,"18","""The Little White Cloud That Cried""","Johnnie Ray","3Z0PGLxK7iNftaG0qlhW4V","Johnnie Ray",0.968
1952,"19","""High Noon""","Frankie Laine","1yGBGPgpGi5ua0HbHcvesQ","Frankie Laine",0.935
1952,"20","""I'm Yours""","Eddie Fisher","6eavbb9aFZil4dHGGZ8dGk","Eddie Fisher",0.809
1952,"21","""The Glow-Worm""","Mills Brothers",NA,NA,NA
1952,"22","""It's in the Book""","Johnny Standley",NA,NA,NA
1952,"23","""Slow Poke""","Pee Wee King","0h45YvcNfRRpf5D34vVgOr","Various Artists",0.732
1952,"24","""Walkin' My Baby Back Home""","Johnnie Ray","6JUygdnYt24lSMdXqlfSCt","Johnnie Ray",0.949
1952,"25","""Meet Mister Callaghan""","Les Paul","6RuB6RdClJNtEt8n6QBGYd","Les Paul",0.815
1952,"26","""I'm Yours""","Don Cornell","4RDNSkEqoD7gY7JRJ60y3o","Don Cornell",0.955
1952,"27","""I'll Walk Alone""","Don Cornell","5IMHJFmezONtZgtWOgmxUj","Don Cornell",0.789
1952,"28","""Tell Me Why""","Eddie Fisher","1WKcp1DTFJMCPbSRetZMvO","Eddie Fisher",0.826
1952,"29","""Trying""","The Hilltoppers","0FrkBNmDlsJerS6CEmydXd","Four Aces & The Hilltoppers",0.93
1952,"30","""Please Mr. Sun""","Johnnie Ray & The Four Lads",NA,NA,NA
1953,"1","""The Song from Moulin Rouge""","Percy Faith","1forE8vXOCGqYqtWaCTI80","Percy Faith & His Orchestra",0.964
1953,"2","""Vaya con Dios""","Les Paul & Mary Ford","3qhxI5f7klTVfK0iWYmKdM","Les Paul",0.924
1953,"3","""(How Much Is) That Doggie in the Window?""","Patti Page","1mMSH14XSSjzLvNuf62azx","Various Artists",0.795
1953,"4","""I'm Walking Behind You""","Eddie Fisher","70PXozsEK1wUHXnT72Wlxh","Eddie Fisher",0.913
1953,"5","""You, You, You""","Ames Brothers","7iv8br1y5Hv63QX5Z2HFjv","The Ames Brothers",0.838
1953,"6","""Till I Waltz Again with You""","Teresa Brewer","3ZWp5lfQT2yDRWzJDIAed3","Teresa Brewer",0.786
1953,"7","""April in Portugal""","Les Baxter","6qFMhW7m0DnQQPvEjWuhzj","Les Baxter",0.556
1953,"8","""No Other Love""","Perry Como","1x5uDqJADyHDaThHfsWSDU","Perry Como",0.89
1953,"9","""Don't Let the Stars Get in Your Eyes""","Perry Como","03MWEMHfSQIfTYUbxDWtEL","Perry Como",0.693
1953,"10","""I Believe""","Frankie Laine","049uxirFkHOefJ0yqPW8Kk","Frankie Laine",0.977
1953,"11","""Oh""","Pee Wee Hunt","4qbtrwJsXUYNjoBnEetDmV","Glen Gray",0.975
1953,"12","""Ebb Tide""","Frank Chacksfield","3zC98r9lWDkJiPB18pH3No","Frank Chacksfield & His Orchestra",0.748
1953,"13","""Pretend""","Nat King Cole","0nQq0gmq7gcOWyLGrtqu8Z","Nat King Cole",0.938
1953,"14","""Ruby""","Richard Hayman","7c1tsJVs9xThy79WJkshmX","Richard Hayman",0.846
1953,"15","""St. George and the Dragonet""","Stan Freberg","7KBQp0vjzWQabi3m55Iasa","Stan Freberg",0.781
1953,"16","""P.S. I Love You""","The Hilltoppers","74b9HASM7c6rQJIJtEYF4E","The Hilltoppers",0.853
1953,"17","""Tell Me You're Mine""","The Gaylords","5KbwBugR76M9P31Nb6Hkbj","Various Artists",0.827
1953,"18","""Eh, Cumpari!""","Julius La Rosa",NA,NA,NA
1953,"19","""Rags to Riches""","Tony Bennett","3eNieNIpOWOAUr0f50DCqL","Tony Bennett",0.447
1953,"20","""Anna""","Silvana Mangano","4aus0yeyz5joRbfEAtYzJ9","Various Artists",0.461
1953,"21","""Say You're Mine Again""","Perry Como","2JIfFyJO0AQzmm83lzdrNg","Perry Como",0.965
1953,"22","""Dragnet""","Ray Anthony","5vaBArskap4JsRcL1T6b9G","Ray Anthony",0.763
1953,"23","""Tell Me a Story""","Jimmy Boyd & Frankie Laine","1THl7yjezM9SW8x2taVS5w","Frankie Laine",0.807
1953,"24","""Crying in the Chapel""","June Valli","7reRRAB8m2AOCvu9jqhVnh","Various Artists",0.893
1953,"25","""Why Don't You Believe Me?""","Joni James","5RhafNDjb7ExzKVrMKfIio","Joni James",0.917
1953,"26","""Your Cheatin' Heart""","Joni James","7KsPpU4cLmxp66Cful29HU","Joni James",0.857
1953,"27","""Limelight (Terry's Theme)""","Frank Chacksfield","1TwkcwMF0j9rKfkTkTJ3D8","Various Artists",0.964
1953,"28","""With These Hands""","Eddie Fisher","47SAIBYtLSowmI0n2DkLka","Eddie Fisher",0.844
1953,"29","""C'est si bon""","Eartha Kitt","5ltdjMGizJoqS5x7rZzij2","Various Artists",0.832
1953,"30","""Have You Heard?""","Joni James","6YlrW3wP8kFBaew3ZkPxhd","Joni James",0.905
1954,"1","""Little Things Mean a Lot""","Kitty Kallen","30F5DTdI9dYwW69OEe0L56","Various Artists",0.983
1954,"2","""Wanted""","Perry Como","2vPAcZlN4D6H04qeJV83MO","Perry Como",0.915
1954,"3","""Hey There""","Rosemary Clooney","0hNwfLcROljm0Wk9zWIQ6z","Rosemary Clooney",0.97
1954,"4","""Sh-Boom""","The Crew-Cuts",NA,NA,NA
1954,"5","""Make Love to Me""","Jo Stafford","4EN9pfuDRIkftE4l5j8vtN","Jo Stafford",0.851
1954,"6","""Oh! My Pa-Pa""","Eddie Fisher","0EIEvpiVxoXEn5GZWvG1RT","Eddie Fisher",0.863
1954,"7","""(Oh Baby Mine) I Get So Lonely""","The Four Knights","4BOgwatvqxBoMMBbcNfo82","Various Artists",0.623
1954,"8","""Three Coins in the Fountain""","The Four Aces","2vZNvA8PEvBdeWr4EkZjLG","The Four Aces",0.476
1954,"9","""Secret Love""","Doris Day","2dX2phLETbjqZA0D78ms4T","Doris Day",0.955
1954,"10","""Hernando's Hideaway""","Archie Bleyer","2eGUZER00CUyETPkXxUrOf","Various Artists",0.748
1954,"11","""Young at Heart""","Frank Sinatra","6LQp4tzH97pYojnqo0lH59","Frank Sinatra",0.769
1954,"12","""This Ole House""","Rosemary Clooney","3reMY0PF49alfXMs30c2z4","Rosemary Clooney",0.755
1954,"13","""I Need You Now""","Eddie Fisher","0gxpt81ZzaX0x72k1NOojB","Eddie Fisher",0.903
1954,"14","""Cross Over the Bridge""","Patti Page","4OAEEIyG2E9t0lHUXnmTan","Patti Page",0.692
1954,"15","""The Little Shoemaker""","The Gaylords","3kmyWaAojME9H2Ciz6CYsx","Various Artists",0.605
1954,"16","""That's Amore""","Dean Martin","7ha6LU5Dle7FGBh0I9LZIa","Dean Martin",0.663
1954,"17","""The Happy Wanderer""","Frank Weir","2dG38n6Z3hvUaJhLHiBMpf","Various Artists",0.97
1954,"18","""Answer Me, My Love""","Nat King Cole","3baoVFZ8zcG1uH8qnm59Hf","Nat King Cole",0.912
1954,"19","""Stranger in Paradise""","Tony Bennett","1HUc5mDTIx8Ul2cxSiAkcj","Tony Bennett",0.853
1954,"20","""If I Give My Heart to You""","Doris Day","3EuT9Db7LX4no2y4XTUc53","Doris Day",0.975
1954,"21","""If You Love Me (Really Love Me)""","Kay Starr","3EDOhWyUVEuiKSlV0h7cJK","Kay Starr",0.762
1954,"22","""Skokiaan""","Ralph Marterie","2N6zHhrMcelwvFUslH4s6l","Ralph Marterie & His Orchestra",0.633
1954,"23","""Hold My Hand""","Don Cornell","6eGgw0KZkNfDy5CFP5nWvZ","Various Artists",0.979
1954,"24","""Changing Partners""","Patti Page","2DaBR3pOLN4nJIU2t9wkUR","Patti Page",0.97
1954,"25","""Papa Loves Mambo""","Perry Como","5A4gzphhD7SyZZhQeda8Vv","Perry Como",0.727
1954,"26","""Shake, Rattle and Roll""","Bill Haley & His Comets","2McHF33C9Tx4lfwKBefE4n","Bill Haley & His Comets",0.146
1954,"27","""Rags to Riches""","Tony Bennett","3eNieNIpOWOAUr0f50DCqL","Tony Bennett",0.447
1954,"28","""In the Chapel in the Moonlight""","Kitty Kallen","2f3r9KExKxPECQ5SwM8sLd","the Dorsey Brothers",0.947
1954,"29","""Stranger in Paradise""","The Four Aces","6B1uUI4oGXrkn2amek9OVQ","The Four Aces",0.612
1954,"30","""Here""","Tony Martin","1ckMtp20BzrrrszEkZa3Vr","Tony Martin",0.933
1955,"1","""Cherry Pink And Apple Blossom White""","Perez Prado","5HisVcYPaIB4uHdrnW6HCt","Pérez Prado",0.517
1955,"2","""Rock Around the Clock""","Bill Haley & His Comets","2XBsQSZqHPPAtZpRG6TvIm","Bill Haley & His Comets",0.334
1955,"3","""The Yellow Rose of Texas""","Mitch Miller","7985fUI9WlsIIrQuO9TBDh","Mitch Miller",0.835
1955,"4","""Autumn Leaves""","Roger Williams","6M4q5siGdZr55ZWe7RJ5lE","Roger Williams",0.967
1955,"5","""Unchained Melody""","Les Baxter","4dnbvB2Y3cZncApCwowEQx","Les Baxter",0.206
1955,"6","""The Ballad of Davy Crockett""","Bill Hayes",NA,NA,NA
1955,"7","""Love Is a Many-Splendored Thing""","The Four Aces",NA,NA,NA
1955,"8","""Sincerely""","The McGuire Sisters","4bsND9IuJz18UtFx2MwwO8","The McGuire Sisters",0.842
1955,"9","""Ain't That a Shame""","Pat Boone","3YfPrZJRzUq7E4iyct4L8B","Various Artists",0.373
1955,"10","""The Wallflower (Dance with Me, Henry)""","Georgia Gibbs","1VbPvNOeKkkQGoMgeWeMzL","Georgia Gibbs",0.899
1955,"11","""The Crazy Otto Medley""","Johnny Maddox","77St9zZxV7RrB3ne0oW9No","Johnny Maddox",0.875
1955,"12","""Melody of Love""","Billy Vaughn","0MvxfA244432jymB5B3UW2","Billy Vaughn",0.88
1955,"13","""Sixteen Tons""","Tennessee Ernie Ford","3P6OwCX7Ofiaaqtvujb6i5","Tennessee Ernie Ford",0.796
1955,"14","""Learnin' the Blues""","Frank Sinatra","4kN7ENdttMzcvcLxFw1Bw4","Frank Sinatra",0.642
1955,"15","""Hearts of Stone""","The Fontane Sisters","7p2ruJZJ8yA5rvu8ZkeZiz","The Fontane Sisters",0.671
1955,"16","""Tweedle Dee""","Georgia Gibbs","2TRt55mhsEEC7tuwE5dQdd","Georgia Gibbs",0.8
1955,"17","""Moments to Remember""","The Four Lads","4O1y0aoZc2WtgyvriCEs3R","Various Artists",0.963
1955,"18","""Mr. Sandman""","The Chordettes","1T3tP6HvCgDF8ewpRqwM1e","The Chordettes",0.634
1955,"19","""Let Me Go, Lover!""","Joan Weber","4y77BxjMGSmFZ441aZDuCZ","Various Artists",0.902
1955,"20","""A Blossom Fell""","Nat King Cole","2dIhMS83JMFJvFNTmAWucX","Nat King Cole",0.733
1955,"21","""Unchained Melody""","Al Hibbler","4eOIHZahd7bvIWPtaJIP0r","Al Hibbler",0.758
1955,"22","""The Ballad of Davy Crockett""","Fess Parker","5hDKXaqNk8QuwZoEIDAJU9","Various Artists",0.584
1955,"23","""Honey Babe""","Art Mooney","37iz3zxqwBLf9EccnV14Ez","Various Artists",0.745
1955,"24","""The Ballad of Davy Crockett""","Tennessee Ernie Ford","7sIthw4H8sP7EOm3H2GEfL","Tennessee Ernie Ford",0.832
1955,"25","""Ko Ko Mo (I Love You So)""","Perry Como",NA,NA,NA
1955,"26","""Hard to Get""","Gisele MacKenzie","0U8qsh1in1q3psfnIlTW7q","Gisele MacKenzie",0.927
1955,"27","""The Naughty Lady of Shady Lane""","The Ames Brothers","4Rrm5AaiACtvvIueTqfoh0","Various Artists",0.867
1955,"28","""That's All I Want from You""","Jaye P. Morgan",NA,NA,NA
1955,"29","""Only You (And You Alone)""","The Platters","0S8ibKBl3tjRmYbZhGHNhG","The Platters",0.932
1955,"30","""It's a Sin to Tell a Lie""","Somethin' Smith and the Redheads",NA,NA,NA
1956,"1","""Heartbreak Hotel""","Elvis Presley","6xNwKNYZcvgV3XTIwsgNio","Elvis Presley",0.84
1956,"2","""Don't Be Cruel""","Elvis Presley","01u6AEzGbGbQyYVdxajxqk","Elvis Presley",0.856
1956,"3","""Lisbon Antigua""","Nelson Riddle","1fazjcfV0fNI14sB1ohQjk","Various Artists",0.746
1956,"4","""My Prayer""","The Platters","5SdFs7OgVClVNvehg4LXGA","The Platters",0.918
1956,"5","""The Wayward Wind""","Gogi Grant","2VqsUEpRPvgiiBdsBuQrJz","Gogi Grant",0.656
1956,"6","""The Poor People of Paris""","Les Baxter","70gZnClysSHCBwI0H4qr5O","Les Baxter",0.693
1956,"7","""Que Sera, Sera (Whatever Will Be, Will Be)""","Doris Day","3Dnv944x31XU4FFMlkfnWN","Doris Day",0.864
1956,"8","""Hound Dog""","Elvis Presley","64Ny7djQ6rNJspquof2KoX","Elvis Presley",0.733
1956,"9","""Memories Are Made of This""","Dean Martin","4h0igWYayzteBtSNpWYQ9h","Dean Martin",0.918
1956,"10","""(The) Rock and Roll Waltz""","Kay Starr","2qQF7Un1hKV40IJkFJ72TU","Various Artists",0.838
1956,"11","""Moonglow & Theme from Picnic""","Morris Stoloff","09JJkHxcxq1WZsrNt6nlaD","Morris Stoloff",0.812
1956,"12","""The Great Pretender""","The Platters","2FkCjtQ1lYsf71s2FAS8hE","The Platters",0.943
1956,"13","""I Almost Lost My Mind""","Pat Boone","78EBhjZsOhVZS9cA1MXHWL","Pat Boone",0.842
1956,"14","""I Want You, I Need You, I Love You""","Elvis Presley","60tEaPHRJLnMzbyOPTeh3A","Elvis Presley",0.875
1956,"15","""Love Me Tender""","Elvis Presley","0aDmZSsj0OqOcscNlsASlm","Elvis Presley",0.89
1956,"16","""Hot Diggity (Dog Ziggity Boom)""","Perry Como","1aoamOgih6cHb0TZq9gO9A","Perry Como",0.608
1956,"17","""Canadian Sunset""","Eddie Heywood & Hugo Winterhalter",NA,NA,NA
1956,"18","""Blue Suede Shoes""","Carl Perkins","7bglJCaprPQTfDfovdJS2h","Carl Perkins",0.263
1956,"19","""Green Door""","Jim Lowe","5RSfCiLiGGn7yal1bVDHR9","Various Artists",0.54
1956,"20","""No, Not Much""","The Four Lads","07JBi2PmfRn0C53rC1tYtj","The Four Lads",0.806
1956,"21","""Honky Tonk""","Bill Doggett","1F0IPQBRLs1B3ma74ZwsPk","Bill Doggett",0.57
1956,"22","""Sixteen Tons""","Tennessee Ernie Ford","3P6OwCX7Ofiaaqtvujb6i5","Tennessee Ernie Ford",0.796
1956,"23","""Just Walkin' in the Rain""","Johnnie Ray","6zahbizoDqcpCbXkDhe4Er","Johnnie Ray",0.87
1956,"24","""Allegheny Moon""","Patti Page","58F413nS13oiXfSjG4aXFZ","Patti Page",0.944
1956,"25","""I'm in Love Again""","Fats Domino","64tWwNVw8RPIY2N4IYGUBk","Fats Domino",0.827
1956,"26","""Tonight You Belong to Me""","Patience and Prudence","6TGjPUIJuJYRnHc4tXiQDI","Various Artists",0.938
1956,"27","""Be-Bop-A-Lula""","Gene Vincent",NA,NA,NA
1956,"28","""Why Do Fools Fall in Love""","Frankie Lymon and the Teenagers","2xKfXRhw5xaUXfevJJspZf","Frankie Lymon & The Teenagers",0.51
1956,"29","""Standing on the Corner""","The Four Lads","4DDuqcRrjG1XBma3hvaFFq","The Four Lads",0.803
1956,"30","""The Flying Saucer""","Buchanan & Goodman",NA,NA,NA
1956,"31","""Moonglow & Theme from Picnic""","George Cates",NA,NA,NA
1956,"32","""Ivory Tower""","Cathy Carr","2KUSP8uKuXbh6dXmsNpW5s","Various Artists",0.853
1956,"33","""See You Later Alligator""","Bill Haley & His Comets","3CIXs8QRRpJJAQ3PnB233j","Bill Haley & His Comets",0.462
1956,"34","""I'll Be Home""","Pat Boone","5YQJJF0ERkN5TBAC2EzIib","Pat Boone",0.882
1956,"35","""On the Street Where You Live""","Vic Damone","6Dz0GiDizGeXefxXnrbPpz","Vic Damone",0.859
1956,"36","""(You've Got) The Magic Touch""","The Platters","7MENo2s0iWFSX3PGY8Czl2","The Platters",0.969
1956,"37","""Born to Be with You""","The Chordettes","6pTI6Q9G1Nl9i0BdYYhIvV","The Chordettes",0.828
1956,"38","""Band of Gold""","Don Cherry","0zWhhHBG8CiCZSseDlJpc1","Various Artists",0.928
1956,"39","""More""","Perry Como","5htS7DJ1776m0LIRg7kXv4","Perry Como",0.864
1956,"40","""Singing the Blues""","Guy Mitchell","084mnrInuL8H1JZbIzuH3T","Various Artists",0.759
1956,"41","""Blueberry Hill""","Fats Domino","2NkAoxQOr6MGdMB5JDTU81","Fats Domino",0.849
1956,"42","""The Fool""","Sanford Clark","4DGWTmh53h5Qm68FboVSMF","Sanford Clark",0.139
1956,"43","""The Happy Whistler""","Don Robertson","5QUYjfzf43jnuW28PzqMeK","Various Artists",0.15
1956,"44","""True Love""","Bing Crosby & Grace Kelly","3cqu5ZvJRiEIMpCLVnp8kp","Various Artists",0.988
1956,"45","""Long Tall Sally""","Little Richard","2a7ojCoiwjNXokxefSUU0a","Little Richard",0.745
1956,"46","""A Sweet Old Fashioned Girl""","Teresa Brewer","5FzFFCV0eza5iU9ypGyeux","Teresa Brewer",0.806
1956,"47","""Transfusion""","Nervous Norvus","5wrLbp1B4DChkuLCpKgk1K","Various Artists",0.987
1956,"48","""It Only Hurts for a Little While""","The Ames Brothers","0Setb3wE7C1JdY8k1ogVyz","Various Artists",0.98
1956,"49","""A Tear Fell""","Teresa Brewer","53UXXBcCpH5Lap3rIvMYel","Teresa Brewer",0.911
1956,"50","""Rock Island Line""","Lonnie Donegan","7IM2yvWEuE0TvWKe0T3GRa","Lonnie Donegan",0.316
1957,"1","""All Shook Up""","Elvis Presley","5ueyLj6e6oVaTY0KQ6yLaA","Elvis Presley",0.881
1957,"2","""Love Letters in the Sand""","Pat Boone","0BuCJeuqKkoCgUC4CY8CCq","Pat Boone",0.848
1957,"3","""Little Darlin'""","The Diamonds","0f7JTPN46BnWiRGb5A1fft","The Diamonds",0.495
1957,"4","""Young Love""","Tab Hunter","6u1Of00jUvgew9KTJ5AyZS","Various Artists",0.817
1957,"5","""So Rare""","Jimmy Dorsey","7kTmbEXdGYWmxn7Z1jrNrW","Jimmy Dorsey",0.411
1957,"6","""Don't Forbid Me""","Pat Boone","6vL6hy8VSjDSORz5qCM0cr","Pat Boone",0.824
1957,"7","""Singing the Blues""","Guy Mitchell","084mnrInuL8H1JZbIzuH3T","Various Artists",0.759
1957,"8","""Young Love""","Sonny James","7ow0KcdNRitEedvwQNTd6S","Sonny James",0.752
1957,"9","""Too Much""","Elvis Presley","6Dr0EbXrRpMs5GeCjOxnE5","Elvis Presley",0.776
1957,"10","""Round and Round""","Perry Como","1UsG5X1iDRw17C5mIAgqqA","Perry Como",0.891
1957,"11","""Bye Bye Love""","The Everly Brothers","6oRHRkQigTzJ3KwpO3XOV6","The Everly Brothers",0.724
1957,"12","""Tammy""","Debbie Reynolds","6iCY4IgxxoGknFNQg489uh","Frank Skinner",0.631
1957,"13","""Party Doll""","Buddy Knox","3SNEFR9U8CCEUN3iZfkVgW","Buddy Knox",0.718
1957,"14","""Teddy Bear""","Elvis Presley","4FjkmQ9JYaIeh1NxeLEO80","Elvis Presley",0.736
1957,"15","""Day-O (The Banana Boat Song)""","Harry Belafonte",NA,NA,NA
1957,"16","""Jailhouse Rock""","Elvis Presley","4gphxUgq0JSFv2BCLhNDiE","Elvis Presley",0.41
1957,"17","""A White Sport Coat (and a Pink Carnation)""","Marty Robbins","5iHuqnpfjAF05BDR5CapVU","Marty Robbins",0.802
1957,"18","""Come Go with Me""","The Del-Vikings",NA,NA,NA
1957,"19","""Wake Up Little Susie""","The Everly Brothers","11fNLqDB47gMKj7BHhR2Qr","The Everly Brothers",0.318
1957,"20","""You Send Me""","Sam Cooke","5aivQ5CkXXHJoMLy0o92HL","Sam Cooke",0.915
1957,"21","""Searchin'""","The Coasters","5DCqNn752dBJbjM6LEtQJU","The Coasters",0.414
1957,"22","""School Days""","Chuck Berry","0P7j6rXhwKfDshX3Mpxu73","Chuck Berry",0.315
1957,"23","""Gone""","Ferlin Husky","7vHtcfo1km2WasWAkaDbN3","Various Artists",0.816
1957,"24","""Diana""","Paul Anka","4chlGZQX5uPYpRLp3NezmX","Paul Anka",0.341
1957,"25","""A Teenager's Romance""","Ricky Nelson","6Gha1q8axy0zufUV1YBqEW","Ricky Nelson",0.718
1957,"26","""The Banana Boat Song""","The Tarriers","1EzgI18ixqYUzJEfOwRjai","The Tarriers",0.339
1957,"27","""Honeycomb""","Jimmie Rodgers","7MqkjX5YCXhazcaAlHvPmJ","Jimmie Rodgers",0.608
1957,"28","""Whole Lotta Shakin' Goin On""","Jerry Lee Lewis","2L1YTEDraxbH7AQdJvblxv","Jerry Lee Lewis",0.0942
1957,"29","""Dark Moon""","Gale Storm","3rD4wDHELdq2NqhWtqtPck","Gale Storm",0.814
1957,"30","""That'll Be the Day""","The Crickets","2IoNjxfeY1EbqGAp6fRYzf","Buddy Holly",0.666
1957,"31","""Butterfly""","Charlie Gracie","2teuJ5gNuTaryRKYeR32v9","Charlie Gracie",0.817
1957,"32","""Moonlight Gambler""","Frankie Laine","27jaiKKAGY0HXVXkOGnUJW","Frankie Laine",0.864
1957,"33","""Teen-Age Crush""","Tommy Sands","6tiSweAqw2MQHO5XKhB1C6","Tommy Sands",0.853
1957,"34","""It's Not for Me to Say""","Johnny Mathis","0LzsNy1SqlM0qkRGL2RJfv","Johnny Mathis",0.917
1957,"35","""Silhouettes""","The Rays","5P9EI5iZRctJ0QcarKmraH","Various Artists",0.853
1957,"36","""Butterfly""","Andy Williams","5gRbEU5aX4vIRfLMuXyNn5","Andy Williams",0.783
1957,"37","""Marianne""","The Easy Riders","35d6KXnrlHEqyxw2xR2UbD","The Easy Riders",0.838
1957,"38","""I'm Walkin'""","Fats Domino","2wFLCxMDUghtqSb4AiepRc","Fats Domino",0.847
1957,"39","""Chances Are""","Johnny Mathis","2eg3CoqVGI21N8115BgdQA","Johnny Mathis",0.884
1957,"40","""Send For Me""","Nat King Cole","301Hz7AymbX4VVWf4WznNf","Nat King Cole",0.631
1957,"41","""Rainbow""","Russ Hamilton","2xwiFvsqVYDh75mB7vaqGm","Various Artists",0.868
1957,"42","""Be-Bop Baby""","Ricky Nelson",NA,NA,NA
1957,"43","""Short Fat Fannie""","Larry Williams","5Pvmp1PxLSsj7QE5RVd9YP","Larry Williams",0.585
1957,"44","""Green Door""","Jim Lowe","5RSfCiLiGGn7yal1bVDHR9","Various Artists",0.54
